region,control_plane_name,control_plane_id,serverless_gateway_url,auth_server_url
"eu","student33-cp","bb617216-256b-4960-b3e9-811f23cc6fcc","https://545f951fd9.eu.serverless.gateways.konggateway.com","https://qof5ml0d7djlxvre.eu.identity.konghq.com/auth"
"eu","student34-cp","ad772aa3-6345-413c-80b3-541112421832","https://17e9b90cf4.eu.serverless.gateways.konggateway.com","https://o192s27tvzkhcmd8.eu.identity.konghq.com/auth"
"eu","student35-cp","a1b4cfed-e29c-4a49-b555-26380ed5a60b","https://9a0f574ee5.eu.serverless.gateways.konggateway.com","https://998wevm8xaugectx.eu.identity.konghq.com/auth"
"eu","student36-cp","8d55617e-651e-4ae6-8331-c2ae0bc1838e","https://fb11700c78.eu.serverless.gateways.konggateway.com","https://p9oa5i08fd067ecc.eu.identity.konghq.com/auth"
"eu","student37-cp","b5b94f29-05f0-4c21-b936-b7d251af5cb4","https://e622bd5b24.eu.serverless.gateways.konggateway.com","https://eay038d5sifkev8c.eu.identity.konghq.com/auth"
"eu","student38-cp","14b78c50-6553-4f98-a1eb-5fcbaa8de91b","https://8c04dd5b8f.eu.serverless.gateways.konggateway.com","https://nczqyf04v0tqqobf.eu.identity.konghq.com/auth"
"eu","student39-cp","8a92c1d0-69a8-4a02-9a6e-5915ea504684","https://f7de26b31f.eu.serverless.gateways.konggateway.com","https://7vpfr0owex6bveas.eu.identity.konghq.com/auth"
"eu","student40-cp","0d3e549d-5f2f-4ca5-ba10-bc2b778502ff","https://cd6fa22d8d.eu.serverless.gateways.konggateway.com","https://oc01lyui1lqavhw8.eu.identity.konghq.com/auth"
"eu","student41-cp","750f0cf2-685d-4c88-85cc-3f68cd51747b","https://e52f33a09c.eu.serverless.gateways.konggateway.com","https://3fjzeabefuhbkeda.eu.identity.konghq.com/auth"
"eu","student42-cp","0e92014a-992c-498f-91ae-0f66a426b69e","https://a27acfe269.eu.serverless.gateways.konggateway.com","https://y43y71zi8ak0v5zk.eu.identity.konghq.com/auth"
"eu","student43-cp","9b38973c-a1b0-4dd0-b6e6-8556dbc1ed47","https://79d206131f.eu.serverless.gateways.konggateway.com","https://jps7yher8ogjnvdu.eu.identity.konghq.com/auth"
